question_id,cognitive_level,cognitive_atomic,question_prototype,question_text,answer_generation_rule,answer_instruction,answer_type,metric,note,
pm_0,Descriptive,QC,Average Glucose Reading,What was the patient's average blood glucose level?,Calculate the mean of all blood glucose values.,Compute the mean of all glucose readings; round to one decimal.,float,sMAPE,,
pm_1,Descriptive,QC,Maximum Glucose Reading,What was the highest blood glucose level recorded?,Find the maximum value in the blood glucose array.,Scan all glucose readings to identify the maximum value. Report it as a float rounded to one decimal place,float,sMAPE,,
pm_2,Descriptive,QC,Minimum Glucose Reading,What was the lowest blood glucose level recorded?,Find the minimum value in the blood glucose array.,Scan all glucose readings to identify the minimum value. Report it as a float rounded to one decimal place,float,sMAPE,,
pm_3,Memory,"QC,TR",Time of Maximum,When did the patient experience their highest blood glucose peak?,Find the index of the maximum glucose value and convert to time in minutes.,"Scan all glucose readings to identify the maximum value. Locate the index of its first occurrence and multiply by 5 to convert to minutes, and report the corresponding minutes.",int,sMAPE,"More like ER, retrieve based on 'highest glucose level' event instead of an indicated time interval","YM: After identifying the highest glucose level, the model needs to return the temporal information (TR)"
pm_4,Descriptive,QC,Time in range,How many hours did the patient spend in the target range (70-180 mg/dL)?,"Count minutes where glucose values are between 70-180 mg/dL, then convert to hours.","Count the number of glucose readings between 70 and 180 mg/dL (inclusive), multiply by 5 to get minutes, then convert to hours and round to one decimal.",float,sMAPE,,
pm_5,Descriptive,QC,Time above range,How many hours did the patient spend above the target range (> 180 mg/dL)?,"Count minutes where glucose values are above 180 mg/dL (do not include 180), then convert to hours.","Identify all glucose readings strictly greater than 180 mg/dL (exclude 180), count the number of such readings, multiply by 5 to convert the count to minutes, then divide by 60 to convert to hours and round to one decimal place.",float,sMAPE,,
pm_6,Descriptive,QC,Time below range,How many hours did the patient spend below the target range (< 70 mg/dL)?,"Count minutes where glucose values are below 70 mg/dL (not including 70), then convert to hours.","Identify all glucose readings strictly less than 70 mg/dL (exclude 70), count the number of such readings, multiply by 5 to convert the count to minutes, then divide by 60 to convert to hours and round to one decimal place.",float,sMAPE,,
pm_7,Descriptive,QC,Hypoglycemic Events,How many hypoglycemic events (BG < 70 mg/dL) did the patient experience?,Count the total number of blood glucose readings that are below 70 mg/dL (not including 70). Return the count as an integer.,"Identify all glucose readings strictly less than 70 mg/dL (exclude 70), count the total number of such readings, and return this count as an integer.",int,sMAPE,"The answer is to count the number of low BG readings, but the question is about events. Should the event mean aggregate the consecutive readings into 1 count?",I think both make sense. It should be fine as long as the instructions align with the ground truth construction.
pm_8,Descriptive,QC,Hyperglycemia Events,How many hyperglycemic events (BG > 180 mg/dL) did the patient experience?,Count the total number of blood glucose readings that are above 180 mg/dL (not including 180). Return the count as an integer.,"Identify all glucose readings strictly greater than 180 mg/dL (exclude 180), count the total number of such readings, and return this count as an integer.",int,sMAPE,Same as above,
pm_9,Descriptive,QC,Standard deviation,What was the standard deviation of the patient's glucose levels?,Calculate the standard deviation of all blood glucose values.,Compute the standard deviation of all glucose readings; round to one decimal.,float,sMAPE,,
pm_10,Descriptive,QC,Time in range,What's the time-in-range percentage for this patient?,"Divide time in range (70-180 mg/dL) by total time, multiply by 100.","Calculate the proportion of glucose readings between 70 and 180 mg/dL (inclusive), multiply by 100 to get percentage, and round to one decimal place.",float,sMAPE,,
pm_11,Descriptive,QC,Time above range,What's the time-above-range percentage for this patient?,"Divide time above range (> 180 mg/dL not including 180) by total time, multiply by 100.","Calculate the proportion of glucose readings strictly greater than 180 mg/dL (exclude 180) relative to the total number of readings, multiply by 100 to obtain the percentage, and round to one decimal place.",float,sMAPE,,
pm_12,Descriptive,QC,Time below range,What's the time-below-range percentage for this patient?,"Divide time below range (< 70 mg/dL not including 70) by total time, multiply by 100.","Calculate the proportion of glucose readings strictly less than 70 mg/dL (exclude 70) relative to the total number of readings, multiply by 100 to obtain the percentage, and round to one decimal place.",float,sMAPE,,
pm_13,Descriptive,"QC,CA",Rapid Glucose Fluctuations,Did the patient experience any rapid glucose fluctuations (>2 mg/dL/min)?,"Calculate rate of change between consecutive readings, check if any exceed 2 mg/dL/min. Return 'Yes' if any glucose change exceeds 2 mg/dL/min, otherwise return 'No'.","For each pair of consecutive glucose readings, compute the rate of change by subtracting the earlier value from the later value and dividing by the time interval in minutes between the readings, take the absolute value of each rate, check whether any rate exceeds 2 mg/dL/min, and return ""Yes"" if at least one does, otherwise return ""No"".",categorical,Accuracy,Not very sure this one involves CA. It doesn't seem to need comparison between episodes.,It compares with baseline at the end.
pm_14,Memory,"TR,QC",Average Glucose Reading,"What was the average glucose reading between 2-4pm on week 3, day 5?","Filter readings for 2-4 pm on week 3, day 5 and compute the mean.","Extract glucose readings from 2-4 pm for {day_name}, compute the mean, and round to one decimal place.",float,sMAPE,,
pm_15,Memory,"TR,QC,CA",Stable Glucose Days,What are the days where glucose are consistently stable?,Return a list of day indices (1-based) where glucose coefficient of variation is lower than 36.,"For each day, calculate the coefficient of variation by dividing the standard deviation of that day’s glucose values by the mean glucose for that day and multiplying by 100, identify all days where this value is less than 36, and return their day indices using 1-based numbering as a list, e.g., [1, 3, 5].",list,F1,"Not sure include CA, and it looks like ER. Should this metric use Accuracy? Affinity-F1 used for the time interval, accuracy used for category/list of category","It compares with baseline at the end. Acc would be too rigorous. F1, which takes into account precision and recall, would be more suitable."
pm_16,Memory,"TR,QC,CA",Most Variable Glucose Day,On which day was the patient's glucose most variable?,Return the day index (1-based) with the highest coefficient of variation on that day.,"For each day, calculate the coefficient of variation by dividing the standard deviation of that day’s glucose values by the mean glucose for that day and multiplying by 100, compare these daily values across all days, and return the 1-based day index of the day with the highest coefficient of variation.",int,Accuracy,ER instead TR,ER should be events relevant. TR is more like locating the temporal window/timestamp. In this case temporal window for each day.
pm_17,Memory,"TR,QC,CA",Most Stable Glucose Day,On which day was the patient's glucose most stable?,Return the day index (1-based) with the lowest coefficient of variation on that day.,"For each day, calculate the coefficient of variation by dividing the standard deviation of that day’s glucose values by the mean glucose for that day and multiplying by 100, compare these daily values across all days, and return the 1-based day index of the day with the lowest coefficient of variation.",int,Accuracy,Same.,
pm_18,Memory,"TR,QC,CA",Glucose Variability by Time,Was glucose variability higher in the mornings or afternoons?,"Calculate standard deviations of glucose values for 6am–12pm and 12pm–6pm periods across all days, and compare the averages.","For each day, separate glucose readings into the 6am–12pm period and the 12pm–6pm period, calculate the standard deviation of glucose values for each period on each day, compute the average standard deviation across all days for each time period, and compare the two averages to determine which period shows greater glucose variability. Select one of the following options based on which period has higher glucose variability: 'morning', 'afternoon', or 'equal in both'.",categorical,Accuracy,This looks like a fall at the pattern level. Involve PM,It don't think we should mix cognitive reasoning with task acting.
pm_19,Memory,"TR,QC,CA",Glucose Stability by Time,Are my glucose trends more stable on weekdays or weekend for the first week?,Compare the glucose coefficient of variation on weekdays versus weekends.,"Compare the glucose coefficient of variation on weekdays versus weekends. Select one of the following options based on which period has lower coefficient: 'weekdays', 'weekend', or 'equal in both'.",categorical,Accuracy,This looks like a fall at the pattern level. Involve PM,
